,0
1707,10957
1708,11412
1709,7899
1710,9623
1711,7510
1712,10492
1713,9952
1714,8892
1715,11756
1716,11038
1717,11150
1718,9849
1719,9906
1720,11683
1721,9720
1722,10112
1723,10083
1724,11740
1725,7160
1726,10592
1727,11754
1728,7810
1729,8040
1730,11616
1731,10978
1732,10932
1733,11650
1734,9688
1735,8181
1736,9660
1737,9950
1738,9599
1739,9740
1740,10279
1741,9079
1742,11579
1743,11215
1744,7810
1745,7188
1746,10349
1747,11237
1748,11513
1749,10319
1750,10826
1751,11261
1752,11157
1753,11684
1754,10650
1755,11116
1756,6145
1757,7875
1758,9578
1759,10316
1760,8007
1761,11035
1762,9295
1763,7638
1764,11526
1765,9623
1766,10837
1767,8780
1768,8462
1769,11747
1770,11581
1771,9737
1772,10197
1773,11462
1774,9325
1775,6244
1776,11482
1777,11164
1778,5210
1779,7638
1780,11106
1781,6820
1782,10557
1783,6289
1784,7810
1785,7638
1786,11060
1787,8858
1788,11368
1789,9958
1790,10724
1791,5171
1792,9169
1793,9594
1794,8039
1795,8692
1796,8438
1797,10481
1798,9569
1799,9549
1800,9795
1801,11841
1802,10327
1803,10353
1804,8100
1805,11406
1806,9108
1807,11200
1808,11887
1809,8292
1810,9820
1811,7974
1812,11363
1813,10288
1814,11522
1815,9262
1816,10493
1817,5007
1818,4921
1819,9617
1820,11302
1821,11242
1822,9774
1823,8930
1824,8432
1825,10071
1826,11727
1827,10941
1828,11352
1829,9627
1830,9624
1831,9593
1832,6039
1833,10287
1834,9381
1835,10958
1836,10695
1837,8111
1838,6446
1839,11789
1840,10434
1841,6042
1842,8992
1843,11301
1844,9831
1845,10697
1846,10889
1847,11376
1848,8639
1849,9855
1850,9178
1851,9896
1852,7562
1853,10389
1854,9540
1855,9574
1856,11742
1857,9182
1858,9313
1859,10654
1860,8870
1861,11214
1862,8371
1863,8709
1864,9301
1865,10539
1866,11555
1867,8821
1868,11358
1869,10348
1870,7810
1871,10017
1872,10261
1873,10252
1874,7799
1875,9953
1876,11782
1877,10702
1878,11729
1879,10709
1880,11056
1881,5485
1882,11354
1883,7807
1884,10551
1885,9310
1886,10846
1887,11243
1888,7958
1889,9754
1890,6343
1891,8840
1892,10624
1893,10764
1894,11531
1895,10592
1896,10715
1897,10722
1898,11175
1899,6721
1900,11685
1901,10555
1902,11410
1903,10355
1904,11662
1905,10939
1906,7996
1907,7498
1908,11817
1909,11012
1910,7638
1911,8557
1912,10360
1913,10655
1914,7213
1915,8830
1916,8401
1917,11669
1918,10257
1919,11286
1920,9994
1921,5008
1922,10042
1923,11323
1924,9340
1925,9907
1926,8832
1927,11582
1928,10517
1929,11400
1930,5714
1931,6422
1932,9972
1933,8806
1934,10631
1935,9048
1936,11249
1937,9936
1938,11557
1939,6244
1940,5583
1941,6815
1942,9160
1943,11503
1944,11222
1945,7258
1946,9098
1947,11366
1948,7820
1949,9587
1950,7719
1951,12000
1952,10538
1953,10503
1954,9943
1955,10536
1956,8025
1957,9998
1958,8687
1959,8848
1960,7380
1961,9175
1962,10717
1963,10725
1964,8316
1965,6805
1966,8476
1967,11566
1968,10936
1969,10221
1970,11401
1971,11867
1972,10717
1973,11353
1974,11820
1975,8174
1976,9649
1977,11021
1978,10169
1979,11573
1980,10554
1981,11240
1982,11195
1983,10920
1984,9453
1985,11713
1986,11818
1987,10434
1988,11219
1989,12000
1990,9163
1991,9766
1992,5210
1993,9579
1994,10961
1995,10954
1996,10007
1997,8538
1998,9199
1999,10589
2000,9836
2001,11942
2002,9109
2003,7480
2004,7810
2005,10761
2006,7795
2007,9522
2008,6328
2009,9046
2010,5204
2011,11230
2012,6817
2013,8922
2014,7638
2015,10609
2016,8359
2017,6964
2018,11453
2019,6461
2020,11644
2021,7224
2022,11769
2023,10057
2024,11480
2025,11270
2026,10691
2027,11557
2028,11585
2029,11780
2030,11901
2031,8526
2032,10333
2033,8772
2034,11218
2035,9419
2036,8220
2037,11434
2038,10158
2039,10679
2040,9651
2041,8921
2042,8715
2043,10387
2044,9282
2045,10404
2046,9696
2047,8842
2048,11824
2049,11450
2050,5023
2051,9680
2052,9744
2053,10359
2054,7638
2055,9953
2056,11484
2057,7749
2058,7855
2059,9783
2060,10982
2061,10592
2062,11161
2063,11643
2064,11564
2065,9717
2066,9950
2067,6715
2068,7662
2069,10209
2070,8710
2071,9067
2072,10223
2073,9418
2074,9077
2075,10205
2076,10238
2077,9170
2078,10567
2079,10744
2080,9311
2081,11447
2082,10273
2083,8743
2084,11267
2085,10901
2086,11420
2087,10460
2088,11189
2089,9043
2090,9320
2091,9584
2092,10590
2093,9866
2094,11655
2095,9419
2096,9155
2097,8384
2098,11123
2099,11340
2100,11393
2101,7757
2102,8523
2103,8793
2104,11424
2105,9824
2106,8770
2107,11090
2108,11860
2109,8620
2110,7374
2111,11582
2112,10577
2113,8654
2114,9372
2115,10077
2116,10996
2117,9607
2118,11771
2119,7787
2120,7810
2121,6682
2122,11922
2123,8880
2124,11551
2125,11871
2126,6765
2127,11274
2128,10889
2129,9411
2130,8542
2131,11436
2132,8988
2133,11241
2134,10383
2135,4500
2136,10546
2137,10823
2138,10582
2139,10528
2140,9722
2141,10858
2142,9421
2143,11489
2144,10504
2145,9622
2146,5907
2147,10847
2148,9301
2149,10952
2150,10492
2151,11702
2152,11610
2153,11912
2154,7905
2155,10484
2156,8129
2157,8017
2158,10234
2159,9393
2160,10928
2161,9221
2162,9687
2163,11684
2164,10804
2165,10688
2166,7638
2167,10982
2168,9769
2169,7331
2170,10092
2171,8702
2172,11736
2173,10794
2174,7810
2175,9915
2176,9233
2177,7736
2178,6694
2179,10055
2180,10313
2181,9831
2182,10862
2183,6039
2184,10981
2185,11421
2186,8827
2187,10193
2188,9045
2189,10368
2190,7822
2191,10752
2192,8434
2193,10589
2194,10159
2195,9527
2196,9033
2197,7411
2198,10478
2199,11019
2200,11377
2201,7600
2202,11062
2203,11577
2204,10107
2205,11257
2206,9763
2207,11543
2208,11405
2209,9119
2210,6812
2211,7556
2212,5210
2213,11210
2214,10223
2215,8099
2216,7871
2217,8574
2218,11595
2219,10460
2220,8237
2221,5075
2222,11163
2223,5210
2224,8615
2225,10423
2226,9715
2227,11079
2228,11405
2229,9231
2230,10030
2231,11140
2232,9622
2233,11414
2234,11240
2235,10269
2236,10041
2237,11074
2238,9033
2239,10593
2240,11526
2241,10716
2242,9649
2243,9811
2244,6387
2245,10946
2246,11265
2247,8821
2248,6952
2249,7809
2250,10954
2251,11130
2252,9503
2253,11087
2254,6946
2255,11931
2256,5130
2257,9122
2258,7438
2259,8438
2260,6748
2261,10901
2262,11313
2263,11403
2264,11270
2265,9353
2266,9647
2267,9229
2268,11430
2269,9446
2270,8332
2271,6579
2272,10393
2273,11359
2274,7810
2275,9968
2276,10638
2277,11134
2278,10324
2279,11163
2280,8115
2281,11214
2282,8518
2283,11394
2284,6234
2285,11137
2286,11823
2287,10833
2288,10839
2289,7410
2290,7380
2291,6689
2292,7501
2293,11359
2294,6603
2295,10379
2296,10615
2297,9021
2298,11928
2299,9162
2300,10200
2301,10151
2302,10547
2303,11446
2304,5780
2305,9414
2306,10216
2307,8561
2308,10979
2309,9000
2310,8957
2311,9855
2312,11274
2313,10489
2314,9933
2315,8702
2316,11871
2317,5390
2318,10711
2319,8461
2320,8406
2321,10730
2322,11356
2323,9458
2324,11447
2325,9794
2326,10798
2327,11979
2328,5204
2329,11367
2330,7502
2331,8013
2332,8752
2333,10361
2334,9520
2335,9689
2336,10873
2337,10081
2338,9229
2339,10328
2340,10568
2341,10320
2342,8013
2343,10623
2344,8864
2345,10214
2346,7551
2347,10215
2348,5696
2349,10563
2350,8737
2351,9400
2352,7487
2353,11069
2354,5934
2355,10682
2356,11473
2357,10377
2358,10068
2359,9738
2360,10493
2361,10989
2362,7481
2363,10745
2364,10135
2365,6039
2366,4910
2367,8800
2368,6299
2369,11327
2370,11859
2371,9354
2372,6344
2373,10292
2374,6061
2375,11092
2376,10854
2377,10257
2378,10942
2379,8974
2380,7712
2381,8767
2382,11060
2383,9636
2384,9258
2385,11531
2386,9270
2387,6809
2388,8013
2389,8858
2390,10712
2391,11071
2392,9491
2393,10710
2394,11717
2395,11411
2396,11890
2397,10964
2398,10840
2399,11659
2400,9512
2401,8126
2402,8935
2403,11858
2404,9573
2405,11972
2406,9579
2407,11103
2408,11790
2409,8430
2410,7522
2411,10621
2412,7617
2413,11544
2414,9593
2415,11489
2416,10776
2417,5204
2418,11219
2419,8586
2420,11281
2421,11527
2422,10319
2423,10299
2424,10077
2425,6864
2426,10928
2427,7692
2428,10770
2429,8454
2430,11671
2431,7795
2432,9356
2433,11618
2434,7989
2435,6383
2436,9856
2437,9676
2438,10686
2439,9249
2440,11672
2441,10890
2442,10862
2443,8564
2444,11394
2445,10039
2446,11848
2447,8106
2448,11279
