,0
1355,9856
1356,10606
1357,11365
1358,10607
1359,9596
1360,10907
1361,11489
1362,10798
1363,10879
1364,8759
1365,11030
1366,9680
1367,9238
1368,9163
1369,10137
1370,11199
1371,10430
1372,10883
1373,10220
1374,11506
1375,11633
1376,10718
1377,10119
1378,5865
1379,11111
1380,10785
1381,8465
1382,10000
1383,7810
1384,11256
1385,11146
1386,11535
1387,6173
1388,10270
1389,10711
1390,6877
1391,9605
1392,9454
1393,11449
1394,11184
1395,10945
1396,9967
1397,6039
1398,10602
1399,11464
1400,11201
1401,11026
1402,8604
1403,10266
1404,11818
1405,11923
1406,10900
1407,11514
1408,9293
1409,8052
1410,11013
1411,11347
1412,7193
1413,7944
1414,10461
1415,9817
1416,10133
1417,11856
1418,9363
1419,10070
1420,11431
1421,9852
1422,10114
1423,11911
1424,11803
1425,11227
1426,11590
1427,8624
1428,11489
1429,8579
1430,11862
1431,6135
1432,10361
1433,9834
1434,11376
1435,10354
1436,11145
1437,10921
1438,9568
1439,10224
1440,9935
1441,11728
1442,8729
1443,10289
1444,8161
1445,9365
1446,11268
1447,9022
1448,6844
1449,8927
1450,8271
1451,11078
1452,9911
1453,9264
1454,10741
1455,10700
1456,11155
1457,9624
1458,11634
1459,10858
1460,10197
1461,10787
1462,11117
1463,11275
1464,9514
1465,9880
1466,11153
1467,9253
1468,7810
1469,10647
1470,10751
1471,10938
1472,11627
1473,11407
1474,10621
1475,11450
1476,11835
1477,8141
1478,6387
1479,8083
1480,10960
1481,7638
1482,9481
1483,10815
1484,11424
1485,11678
1486,7810
1487,8785
1488,11572
1489,11754
1490,9975
1491,9727
1492,11624
1493,9982
1494,8845
1495,11853
1496,11188
1497,11370
1498,9047
1499,9574
1500,9478
1501,5860
1502,11193
1503,9451
1504,11401
1505,9651
1506,11288
1507,8926
1508,10839
1509,5908
1510,9955
1511,7612
1512,11796
1513,11007
1514,11557
1515,10006
1516,11647
1517,10646
1518,8429
1519,7810
1520,5130
1521,10706
1522,7377
1523,7810
1524,8087
1525,11235
1526,11398
1527,11709
1528,10218
1529,10937
1530,8982
1531,7826
1532,10407
1533,9666
1534,8060
1535,10957
1536,11135
1537,6655
1538,11230
1539,8044
1540,11154
1541,7810
1542,11098
1543,8181
1544,10870
1545,11599
1546,7715
1547,11763
1548,11623
1549,11795
1550,8611
1551,9194
1552,11100
1553,11221
1554,9787
1555,5603
1556,5204
1557,11316
1558,10654
1559,11424
1560,10944
1561,10823
1562,9915
1563,11675
1564,10457
1565,10430
1566,8311
1567,10712
1568,11762
1569,11036
1570,11779
1571,9426
1572,11314
1573,10641
1574,10239
1575,11308
1576,10998
1577,11041
1578,8399
1579,10800
1580,10206
1581,11197
1582,11313
1583,11848
1584,11428
1585,10635
1586,11370
1587,11577
1588,10585
1589,10492
1590,11521
1591,6343
1592,11725
1593,11463
1594,10342
1595,8113
1596,9195
1597,9505
1598,11671
1599,10310
1600,10663
1601,10147
1602,10696
1603,10745
1604,11480
1605,10030
1606,10396
1607,10166
1608,10528
1609,11236
1610,11886
1611,11175
1612,11393
1613,11441
1614,10809
1615,10529
1616,9760
1617,8620
1618,8941
1619,11246
1620,11292
1621,11802
1622,10556
1623,8854
1624,10214
1625,10142
1626,10495
1627,10723
1628,5210
1629,11646
1630,11382
1631,10312
1632,10903
1633,8544
1634,11533
1635,8648
1636,9401
1637,11201
1638,11729
1639,11366
1640,9901
1641,7638
1642,6932
1643,10849
1644,10115
1645,11505
1646,9469
1647,6039
1648,10933
1649,10842
1650,10272
1651,10603
1652,11829
1653,10595
1654,9220
1655,10418
1656,11453
1657,9795
1658,8600
1659,8781
1660,7992
1661,10786
1662,10783
1663,8871
1664,11472
1665,8902
1666,8760
1667,7003
1668,11216
1669,11656
1670,8824
1671,9495
1672,6105
1673,11246
1674,11317
1675,6634
1676,11904
1677,10556
1678,11481
1679,11626
1680,7728
1681,10884
1682,11279
1683,7380
1684,9362
1685,11811
1686,10239
1687,9766
1688,10865
1689,10705
1690,9169
1691,7958
1692,10419
1693,10552
1694,10763
1695,11463
1696,9410
1697,11477
1698,11398
1699,9410
1700,11373
1701,8994
1702,11320
1703,10472
1704,11073
1705,10824
1706,11282
1707,7799
1708,11331
1709,11049
